"To","From","Direct","Alternative","Improvement","Alternative_path","Improvement_abs","Year","country.x","country.y","Improvement_percent"
"Malaysia","Bangkok",1139412000063.86,125.434331666667,1139411999938.42,"63, 71, 36",9083733176.74917,2014,"Thailand","Thailand",99.9999999889913
"Karaganda","Kampala",10050089.3569583,229.997583333333,10049859.359375,"117, 10, 165",43696.4998123169,2022,"Uganda","Uganda",99.9977114871802
"Charlotte","Dagupan",3713.174375,205.79675,3507.377625,"158, 24, 130, 18, 77",18.0429203813957,2021,"Philippines","Philippines",94.4576599637877
"TheHague","Dagupan",3381.67525,211.367833333333,3170.30741666667,"158, 181, 26, 203, 202",15.9990060770836,2021,"Philippines","Philippines",93.7496117247411
"Manila","Dagupan",3116.73979166667,107.585083333333,3009.15470833333,"158, 94, 111",28.9699993261148,2021,"Philippines","Philippines",96.5481531817001
"Chicago","Dagupan",3021.83541666667,186.274291666667,2835.561125,"158, 24, 130, 22",16.2225038658269,2021,"Philippines","Philippines",93.8357234600109
"Chisinau","Dagupan",2971.621375,240.416791666667,2731.20458333333,"158, 167, 9, 163, 103",12.3602904539218,2021,"Philippines","Philippines",91.909575234272
"Hanoi","Dagupan",2794.15533333333,124.858,2669.29733333333,"158, 217, 64",22.3786648299134,2021,"Philippines","Philippines",95.5314581651748
"Varna","Dagupan",2700.21870833333,238.151958333333,2462.06675,"158, 182, 147, 68",11.3382175281294,2021,"Philippines","Philippines",91.1802715239934
"Venice","Dagupan",2640.98170833333,215.9105,2425.07120833333,"158, 177, 27, 188",12.2318354518809,2021,"Philippines","Philippines",91.8246120630553
"Syracuse","Dagupan",2590.33791304348,199.799375,2390.53853804348,"158, 24, 130, 3, 95, 220",12.9646947746632,2021,"Philippines","Philippines",92.2867447527242
"Dagupan","Bruges",2536.27791666667,215.831708333333,2320.44620833333,"42, 185, 26, 181, 158",11.7511830687528,2021,"Belgium","Belgium",91.4902185239624
"Guadalajara","Dagupan",2531.74725,215.134166666667,2316.61308333333,"158, 37, 168",11.7682248674277,2021,"Philippines","Philippines",91.5025417064572
"OklahomaCity","Dagupan",2355.59208333333,189.71475,2165.87733333333,"158, 24, 54, 119",12.4164941488911,2021,"Philippines","Philippines",91.9461968248959
"Dagupan","Chicago",2250.092,187.341666666667,2062.75033333333,"22, 130, 24, 158",12.01063297896,2021,"United States","United States",91.6740441427877
"Paris","Dagupan",2258.632375,218.524291666667,2040.10808333333,"158, 177, 172, 5",10.3358411908058,2021,"Philippines","Philippines",90.3249287451365
"Bruges","Dagupan",1871.75020833333,217.063875,1654.68633333333,"158, 181, 26, 185, 42",8.62303876374332,2021,"Philippines","Philippines",88.4031600993767
"BuenosAires","Zhangjiakou",1919.45825,330.627041666667,1588.83120833333,"241, 30, 69, 49",NA,2024,"China","China",82.7749813434772
"Dagupan","Cardiff",1743.10120833333,217.326625,1525.77458333333,"178, 181, 158",8.02065190279071,2021,"United Kingdom","United Kingdom",87.5321855116034
"Philadelphia","Dagupan",1706.56791304348,201.908833333333,1504.65907971014,"158, 24, 164, 67",8.45217063993475,2021,"Philippines","Philippines",88.168719698166
