"region_from","Africa","Au&NewZ","EastEurope","Hindustan","LatAm","MidEast","NorthAm","PacificC","WestEurope"
"Africa",53.6363636363636,86.8686868686869,69.6969696969697,79.5454545454545,77.2727272727273,80,80.7228915662651,84.8484848484848,60
"Au&NewZ",85.8585858585859,19.4444444444444,79.8353909465021,80.5555555555556,75.9259259259259,91.1111111111111,82.0615796519411,78.8359788359788,82.9059829059829
"EastEurope",69.023569023569,79.0123456790123,43.019943019943,85.6481481481482,71.9135802469136,73.7037037037037,73.5385988398037,78.6596119929453,55.8404558404558
"Hindustan",78.4090909090909,80.5555555555556,86.5740740740741,39.2857142857143,80.2083333333333,92.5,88.5542168674699,76.1904761904762,85.9615384615385
"LatAm",84.0909090909091,82.4074074074074,76.5432098765432,89.5833333333333,30.3030303030303,89.1666666666667,72.0883534136546,82.1428571428571,83.2051282051282
"MidEast",76.3636363636364,90,71.8518518518519,87.5,84.1666666666667,71.1111111111111,85.421686746988,87.6190476190476,73.2307692307692
"NorthAm",80.2847754654984,82.4631860776439,73.7617135207497,87.8012048192771,71.285140562249,86.2650602409638,55.6714663532177,84.0504876649455,77.25671918443
"PacificC",84.8484848484848,79.3650793650794,78.1305114638448,75.5952380952381,76.1904761904762,88.5714285714286,83.5915088927137,66.1904761904762,83.8827838827839
"WestEurope",60.2797202797203,82.3931623931624,55.3276353276353,84.6153846153846,81.2820512820513,76.3076923076923,77.3123262279889,84.1758241758242,52.6923076923077
